stn,year,mmddhh,ta,td,hm,ws,rn,re,ww,si,ss,sn,mm,dd,hh
a,F,110118,14.8,7.1,60.4,2.9,0.0,0.0,G,0.06,0.2,1.9260364842454392,11,1,18
a,F,110119,13.9,9.1,72.8,2.8,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,19
a,F,110120,13.4,7.3,66.5,2.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,20
a,F,110121,12.4,4.1,56.9,3.0,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,21
a,F,110122,11.4,1.6,51.1,3.2,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,22
a,F,110123,10.4,-0.2,47.6,3.6,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,23
a,F,110200,9.8,-1.7,44.6,3.2,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,0
a,F,110201,9.3,-2.3,44.1,2.6,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,1
a,F,110202,8.9,-1.4,48.3,2.2,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,2
a,F,110203,8.4,0.7,58.6,2.4,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,3
a,F,110204,7.7,0.3,59.2,2.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,4
a,F,110205,7.1,-0.1,60.2,2.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,5
a,F,110206,6.9,-0.3,60.2,2.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,6
a,F,110207,6.7,-0.7,59.3,1.9,0.0,0.0,C,0.0,0.0,1.9260364842454392,11,2,7
a,F,110208,6.8,-0.2,60.7,2.2,0.0,0.0,C,0.16,0.4,1.9260364842454392,11,2,8
a,F,110209,8.1,0.5,58.6,2.0,0.0,0.0,C,0.84,1.0,1.9260364842454392,11,2,9
a,F,110210,10.0,1.9,57.5,1.8,0.0,0.0,C,1.46,1.0,1.9260364842454392,11,2,10
a,F,110211,11.6,1.9,51.3,2.0,0.0,0.0,C,1.97,1.0,1.9260364842454392,11,2,11
a,F,110212,12.9,1.9,47.1,2.2,0.0,0.0,C,2.23,1.0,1.9260364842454392,11,2,12
a,F,110213,13.9,0.5,39.9,2.7,0.0,0.0,C,2.34,1.0,1.9260364842454392,11,2,13
a,F,110214,14.6,-1.7,32.7,2.5,0.0,0.0,C,2.19,1.0,1.9260364842454392,11,2,14
a,F,110215,15.3,0.4,36.2,2.8,0.0,0.0,C,1.8,1.0,1.9260364842454392,11,2,15
a,F,110216,15.2,-0.5,34.1,3.1,0.0,0.0,C,1.24,1.0,1.9260364842454392,11,2,16
a,F,110217,13.9,0.3,39.6,2.6,0.0,0.0,C,0.56,1.0,1.9260364842454392,11,2,17
a,F,110218,12.5,0.7,44.4,1.9,0.0,0.0,C,0.05,0.2,1.9260364842454392,11,2,18
a,F,110219,11.8,2.4,52.5,2.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,19
a,F,110220,11.4,4.3,61.8,2.1,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,20
a,F,110221,11.3,5.3,66.9,1.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,21
a,F,110222,11.2,6.1,71.0,1.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,22
a,F,110223,10.8,5.8,71.3,2.0,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,2,23
a,F,110300,10.1,2.4,59.1,2.4,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,0
a,F,110301,9.5,1.2,56.3,1.9,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,1
a,F,110302,9.3,1.5,58.0,2.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,2
a,F,110303,9.0,1.3,58.4,2.2,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,3
a,F,110304,9.0,0.8,56.6,2.0,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,4
a,F,110305,9.1,0.6,55.1,2.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,5
a,F,110306,9.0,0.2,53.9,2.8,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,6
a,F,110307,9.1,-0.5,51.2,2.6,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,7
a,F,110308,8.9,-0.3,52.2,2.1,0.0,0.0,C,0.1,0.0,1.9260364842454392,11,3,8
a,F,110309,9.4,-1.6,46.1,1.6,0.0,0.0,C,0.35,0.0,1.9260364842454392,11,3,9
a,F,110310,10.8,-0.5,45.6,1.9,0.0,0.0,C,1.06,0.6,1.9260364842454392,11,3,10
a,F,110311,11.7,-0.8,41.8,2.0,0.0,0.0,C,0.8,0.0,1.9260364842454392,11,3,11
a,F,110312,12.2,1.5,48.1,2.1,0.0,0.0,C,0.79,0.0,1.9260364842454392,11,3,12
a,F,110313,12.3,2.3,50.2,2.3,0.0,0.0,C,0.82,0.0,1.9260364842454392,11,3,13
a,F,110314,12.0,3.3,55.6,3.4,0.0,0.0,C,0.26,0.0,1.9260364842454392,11,3,14
a,F,110315,11.3,2.6,55.2,3.6,0.0,0.0,C,0.2,0.0,1.9260364842454392,11,3,15
a,F,110316,11.0,3.0,57.7,3.2,0.0,0.0,R,0.23,0.0,1.9260364842454392,11,3,16
a,F,110317,10.9,2.3,55.4,2.6,0.0,0.0,C,0.13,0.0,1.9260364842454392,11,3,17
a,F,110318,10.5,1.7,54.6,3.6,0.0,0.0,C,0.03,0.0,1.9260364842454392,11,3,18
a,F,110319,9.8,2.3,59.7,3.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,19
a,F,110320,9.1,2.3,62.6,3.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,20
a,F,110321,8.3,0.2,57.0,3.2,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,21
a,F,110322,7.7,-0.8,54.9,4.4,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,22
a,F,110323,6.9,-2.1,52.6,4.9,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,3,23
a,F,110400,6.2,-2.7,52.9,4.1,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,0
a,F,110401,5.7,-2.9,54.0,3.9,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,1
a,F,110402,5.1,-4.0,51.9,3.4,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,2
a,F,110403,4.6,-6.0,46.1,4.8,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,3
a,F,110404,4.2,-6.4,46.0,4.4,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,4
a,F,110405,3.7,-7.1,45.3,3.8,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,5
a,F,110406,3.2,-7.4,45.5,4.8,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,6
a,F,110407,2.4,-7.0,49.8,4.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,7
a,F,110408,2.0,-8.0,47.6,4.0,0.0,0.0,C,0.15,0.3,1.9260364842454392,11,4,8
a,F,110409,2.4,-9.4,41.5,3.4,0.0,0.0,C,0.82,1.0,1.9260364842454392,11,4,9
a,F,110410,3.2,-10.6,35.7,3.8,0.0,0.0,C,1.47,1.0,1.9260364842454392,11,4,10
a,F,110411,4.4,-11.0,31.7,3.9,0.0,0.0,C,1.99,1.0,1.9260364842454392,11,4,11
a,F,110412,5.3,-10.4,31.3,3.6,0.0,0.0,C,2.29,1.0,1.9260364842454392,11,4,12
a,F,110413,6.6,-9.7,30.2,3.1,0.0,0.0,C,2.34,1.0,1.9260364842454392,11,4,13
a,F,110414,7.9,-9.9,27.0,4.3,0.0,0.0,C,2.18,1.0,1.9260364842454392,11,4,14
a,F,110415,8.5,-9.7,26.5,5.6,0.0,0.0,C,1.81,1.0,1.9260364842454392,11,4,15
a,F,110416,8.6,-9.0,27.7,5.3,0.0,0.0,C,1.26,1.0,1.9260364842454392,11,4,16
a,F,110417,8.3,-9.4,27.6,4.8,0.0,0.0,C,0.59,1.0,1.9260364842454392,11,4,17
a,F,110418,7.2,-9.7,28.9,4.7,0.0,0.0,C,0.05,0.3,1.9260364842454392,11,4,18
a,F,110419,6.5,-8.7,32.9,4.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,19
a,F,110420,5.9,-7.0,39.3,4.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,20
a,F,110421,5.3,-6.9,40.9,3.4,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,21
a,F,110422,4.7,-7.1,41.9,3.8,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,22
a,F,110423,4.0,-6.8,45.3,2.6,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,4,23
a,F,110500,3.7,-6.2,48.7,2.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,0
a,F,110501,3.8,-5.4,51.1,2.1,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,1
a,F,110502,3.8,-4.9,53.0,2.1,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,2
a,F,110503,3.5,-4.9,53.9,1.8,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,3
a,F,110504,3.5,-5.1,53.4,2.1,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,4
a,F,110505,3.5,-5.4,52.1,2.4,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,5
a,F,110506,3.5,-5.3,52.7,2.0,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,6
a,F,110507,3.1,-5.6,52.8,1.2,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,7
a,F,110508,2.9,-5.0,56.1,1.4,0.0,0.0,C,0.14,0.2,1.9260364842454392,11,5,8
a,F,110509,5.6,-3.7,51.1,1.2,0.0,0.0,C,0.8,1.0,1.9260364842454392,11,5,9
a,F,110510,7.9,-3.4,44.5,1.2,0.0,0.0,C,1.43,1.0,1.9260364842454392,11,5,10
a,F,110511,8.7,-4.4,39.4,1.8,0.0,0.0,C,1.91,1.0,1.9260364842454392,11,5,11
a,F,110512,9.7,-4.4,36.6,1.7,0.0,0.0,C,2.22,1.0,1.9260364842454392,11,5,12
a,F,110513,10.7,-4.1,35.1,2.1,0.0,0.0,C,2.28,1.0,1.9260364842454392,11,5,13
a,F,110514,11.8,-3.1,35.3,2.1,0.0,0.0,C,2.12,1.0,1.9260364842454392,11,5,14
a,F,110515,12.3,-3.3,33.5,2.6,0.0,0.0,C,1.76,1.0,1.9260364842454392,11,5,15
a,F,110516,12.0,-5.6,28.8,2.5,0.0,0.0,C,1.23,1.0,1.9260364842454392,11,5,16
a,F,110517,11.5,-3.0,36.6,3.0,0.0,0.0,C,0.55,1.0,1.9260364842454392,11,5,17
a,F,110518,10.2,-0.7,46.6,3.0,0.0,0.0,C,0.05,0.2,1.9260364842454392,11,5,18
a,F,110519,9.6,0.1,51.4,2.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,19
a,F,110520,9.4,0.9,55.0,2.0,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,20
a,F,110521,9.2,1.3,57.7,1.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,21
a,F,110522,8.7,1.5,60.5,1.8,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,22
a,F,110523,8.2,1.3,61.8,1.9,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,5,23
a,F,110600,8.2,1.7,63.5,2.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,0
a,F,110601,8.2,1.5,62.6,2.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,1
a,F,110602,8.0,2.4,67.5,2.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,2
a,F,110603,7.6,2.6,70.3,2.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,3
a,F,110604,7.1,2.2,71.3,2.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,4
a,F,110605,6.5,1.8,71.9,2.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,5
a,F,110606,6.2,1.8,73.6,2.4,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,6
a,F,110607,5.9,1.6,74.4,2.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,7
a,F,110608,5.9,1.5,73.4,2.0,0.0,0.0,C,0.12,0.2,1.9260364842454392,11,6,8
a,F,110609,8.1,2.4,67.4,1.9,0.0,0.0,C,0.75,1.0,1.9260364842454392,11,6,9
a,F,110610,10.6,3.0,59.5,1.8,0.0,0.0,C,1.37,1.0,1.9260364842454392,11,6,10
a,F,110611,12.8,3.4,53.0,1.5,0.0,0.0,C,1.85,1.0,1.9260364842454392,11,6,11
a,F,110612,14.0,2.3,45.4,1.9,0.0,0.0,C,2.16,1.0,1.9260364842454392,11,6,12
a,F,110613,14.9,1.3,39.6,2.1,0.0,0.0,C,2.25,1.0,1.9260364842454392,11,6,13
a,F,110614,15.1,1.9,41.0,2.6,0.0,0.0,C,2.14,1.0,1.9260364842454392,11,6,14
a,F,110615,14.9,3.2,45.5,2.6,0.0,0.0,C,1.73,1.0,1.9260364842454392,11,6,15
a,F,110616,14.5,2.7,45.0,2.5,0.0,0.0,C,1.15,1.0,1.9260364842454392,11,6,16
a,F,110617,13.5,1.7,44.6,2.4,0.0,0.0,C,0.49,0.9,1.9260364842454392,11,6,17
a,F,110618,12.0,1.4,48.3,1.7,0.0,0.0,C,0.04,0.1,1.9260364842454392,11,6,18
a,F,110619,11.2,1.5,51.5,1.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,19
a,F,110620,10.6,1.3,52.3,1.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,20
a,F,110621,10.5,1.6,54.1,1.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,21
a,F,110622,10.4,2.0,56.4,1.6,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,22
a,F,110623,10.1,2.5,59.1,0.9,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,6,23
a,F,110700,9.8,2.8,61.8,1.0,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,0
a,F,110701,9.6,3.2,64.2,0.6,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,1
a,F,110702,8.9,3.0,66.1,1.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,2
a,F,110703,8.7,2.7,65.7,1.1,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,3
a,F,110704,8.3,2.7,67.5,1.8,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,4
a,F,110705,8.1,2.5,67.9,1.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,5
a,F,110706,7.9,2.3,68.1,2.0,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,6
a,F,110707,7.6,2.4,69.3,2.2,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,7
a,F,110708,7.5,2.6,71.5,2.1,0.0,0.0,C,0.11,0.2,1.9260364842454392,11,7,8
a,F,110709,9.0,3.3,67.2,2.1,0.0,0.0,C,0.56,0.9,1.9260364842454392,11,7,9
a,F,110710,11.2,3.7,59.7,2.3,0.0,0.0,C,1.24,1.0,1.9260364842454392,11,7,10
a,F,110711,12.3,3.8,56.0,2.4,0.0,0.0,C,0.96,0.2,1.9260364842454392,11,7,11
a,F,110712,13.1,4.4,55.7,2.3,0.0,0.0,C,1.13,0.0,1.9260364842454392,11,7,12
a,F,110713,14.5,4.3,50.5,2.5,0.0,0.0,C,1.78,0.5,1.9260364842454392,11,7,13
a,F,110714,15.0,1.9,41.0,2.2,0.0,0.0,C,1.24,0.3,1.9260364842454392,11,7,14
a,F,110715,15.0,4.3,48.8,3.1,0.0,0.0,C,1.49,0.9,1.9260364842454392,11,7,15
a,F,110716,14.2,4.7,52.8,2.9,0.0,0.0,C,0.69,0.2,1.9260364842454392,11,7,16
a,F,110717,13.5,5.1,56.9,2.7,0.0,0.0,C,0.14,0.0,1.9260364842454392,11,7,17
a,F,110718,13.2,5.7,60.4,2.4,0.0,0.0,C,0.01,0.0,1.9260364842454392,11,7,18
a,F,110719,13.1,5.0,57.8,2.3,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,19
a,F,110720,13.1,7.0,66.5,2.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,20
a,F,110721,13.1,8.5,73.4,2.7,0.0,8.0,R,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,21
a,F,110722,12.9,8.8,76.3,2.3,0.0,0.0,R,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,22
a,F,110723,12.9,8.9,76.6,1.9,0.0,1.0,R,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,7,23
a,F,110800,12.9,8.8,76.1,1.5,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,0
a,F,110801,12.8,8.7,76.1,0.7,0.0,0.0,R,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,1
a,F,110802,12.7,9.1,78.6,0.6,0.0,0.0,R,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,2
a,F,110803,12.3,8.7,78.9,0.8,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,3
a,F,110804,12.0,8.8,80.6,0.5,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,4
a,F,110805,11.7,8.1,78.6,0.7,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,5
a,F,110806,11.4,7.9,78.9,1.1,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,6
a,F,110807,11.1,7.6,79.0,1.1,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,7
a,F,110808,10.9,7.5,79.3,0.6,0.0,0.0,G,0.1,0.1,1.9260364842454392,11,8,8
a,F,110809,11.1,7.8,79.8,1.4,0.0,0.0,G,0.59,1.0,1.9260364842454392,11,8,9
a,F,110810,12.1,8.2,77.1,1.4,0.0,0.0,G,0.93,0.8,1.9260364842454392,11,8,10
a,F,110811,13.1,8.7,74.7,1.6,0.0,0.0,G,1.42,0.8,1.9260364842454392,11,8,11
a,F,110812,14.4,8.6,68.4,1.7,0.0,0.0,C,1.88,1.0,1.9260364842454392,11,8,12
a,F,110813,15.3,8.1,62.0,2.0,0.0,0.0,G,2.02,1.0,1.9260364842454392,11,8,13
a,F,110814,16.0,5.9,51.1,1.8,0.0,0.0,C,1.88,1.0,1.9260364842454392,11,8,14
a,F,110815,3.704636761818456,-4.650158634234779,56.4,2.8,0.0,0.0,C,1.52,1.0,1.9260364842454392,11,8,15
a,F,110816,3.704636761818456,-4.650158634234779,56.4,2.8,0.0,0.0,C,0.89,1.0,1.9260364842454392,11,8,16
a,F,110817,3.704636761818456,-4.650158634234779,56.4,2.3,0.0,0.0,C,0.44,1.0,1.9260364842454392,11,8,17
a,F,110818,12.9,8.1,72.6,1.7,0.0,0.0,C,0.03,0.2,1.9260364842454392,11,8,18
a,F,110819,12.1,7.9,75.9,1.9,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,19
a,F,110820,11.6,7.8,77.4,1.7,0.0,0.0,C,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,20
a,F,110821,11.3,8.4,82.3,2.1,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,21
a,F,110822,11.2,8.8,85.4,2.0,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,22
a,F,110823,10.8,8.6,85.9,2.0,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,8,23
a,F,110900,10.6,8.4,86.4,1.5,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,0
a,F,110901,10.2,7.9,85.7,1.5,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,1
a,F,110902,9.9,7.6,85.8,1.1,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,2
a,F,110903,9.8,8.0,88.2,0.7,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,3
a,F,110904,9.5,8.0,89.8,0.9,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,4
a,F,110905,9.1,7.5,89.6,0.7,0.0,0.0,F,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,5
a,F,110906,8.9,7.6,91.4,1.0,0.0,0.0,F,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,6
a,F,110907,8.6,7.0,90.1,0.8,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,7
a,F,110908,8.4,7.0,90.5,1.4,0.0,0.0,G,0.11,0.0,1.9260364842454392,11,9,8
a,F,110909,9.6,7.9,89.6,0.9,0.0,0.0,G,0.67,1.0,1.9260364842454392,11,9,9
a,F,110910,10.8,8.6,86.6,0.5,0.0,0.0,G,0.96,0.9,1.9260364842454392,11,9,10
a,F,110911,11.4,9.1,85.9,1.5,0.0,0.0,G,1.36,1.0,1.9260364842454392,11,9,11
a,F,110912,12.5,9.5,81.9,1.6,0.0,0.0,G,1.48,0.8,1.9260364842454392,11,9,12
a,F,110913,13.5,8.6,72.2,2.5,0.0,0.0,G,1.74,0.8,1.9260364842454392,11,9,13
a,F,110914,14.1,7.7,65.4,2.6,0.0,0.0,G,1.51,0.8,1.9260364842454392,11,9,14
a,F,110915,14.1,8.0,66.7,2.3,0.0,0.0,G,1.1,0.3,1.9260364842454392,11,9,15
a,F,110916,13.8,8.3,69.2,2.0,0.0,0.0,G,0.64,0.0,1.9260364842454392,11,9,16
a,F,110917,13.4,7.6,67.9,0.8,0.0,0.0,G,0.23,0.0,1.9260364842454392,11,9,17
a,F,110918,12.7,7.2,69.4,1.3,0.0,0.0,G,0.02,0.0,1.9260364842454392,11,9,18
a,F,110919,12.2,7.9,74.7,1.4,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,19
a,F,110920,11.9,7.2,73.4,0.9,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,20
a,F,110921,11.8,7.3,73.9,1.2,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,21
a,F,110922,11.6,7.6,76.7,0.8,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,22
a,F,110923,11.4,8.0,79.2,0.9,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,9,23
a,F,111000,11.1,7.8,80.0,1.4,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,10,0
a,F,111001,10.7,7.4,79.8,1.6,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,10,1
a,F,111002,10.5,7.5,81.8,1.7,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,10,2
a,F,111003,10.3,7.5,82.9,0.8,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,10,3
a,F,111004,10.2,7.6,84.2,1.4,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,10,4
a,F,111005,9.9,7.5,85.1,1.7,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,10,5
a,F,111006,9.8,7.5,85.5,0.6,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,10,6
a,F,111007,9.6,7.5,86.8,1.0,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,10,7
